id	score	sentence1	sentence2
1	4.172111	the man is planning to shoot a wedding	the woman is going to a wedding.
2	2.1036298	A man is bowling.	A kitten is walking.
3	4.564957	The A920 comes with a printer, scanner, and copier for $89.	Dell's Personal All-in-One A920 is an entry-level device that combines printer, scanner and copier functions for $89.
4	4.4329615	Further testing is still under way, but at this stage, given the early detection, the outlook in such instances would be positive, the specialist said yesterday.	But at this stage, given the early detection, the outlook in such instances would be positive, he said.
5	3.1465719	A man holding a cat.	A man holding a dog.
6	4.2992973	Kyi, a U.N. envoy says, as Japan adds to growing international pressure by saying it will halt its hefty economic aid unless Suu Kyi is freed.	JAPAN added to growing international pressure on Burma yesterday, threatening to halt its hefty economic aid unless the military government released pro-democracy leader Aung San Suu Kyi.
7	4.0471373	I'm afraid we are out of luck in this one.	I think this is one of those things where you are just out of luck.
8	4.294791	"They said they had concluded that the film failed ""to present a balanced portrayal"" of the Reagans."	"CBS said the show ""does not present a balanced portrayal of the Reagans for CBS and its audience."
9	2.9553418	A brown and white cow in a field looking into the camera.	The black and white cat is looking up at the camera.
10	4.787535	One boy is pushing another boy on a swing.	A boy is pushing another boy on the swings.
11	4.522005	A woman riding a brown horse.	A girl riding a brown horse.
12	4.0547934	There are a few things you can do: 	There are a couple things you can try.
13	4.3791847	I think it is depends on the program.	It depends on how the term is used I think.
14	4.6630673	Can you do this?	So, CAN you do this?
15	4.021104	A group of people are nervous about crossing the water.	A group of people are on the water.
16	4.4660316	Authorities said the scientist properly quarantined himself at home after he developed SARS symptoms Dec. 10.	The scientist also quarantined himself at home as soon as he developed SARS symptoms, officials said.
17	4.167809	Three young men run, jump, and kick off of a Coke machine.	Three men are jumping off a wall.
18	4.3041315	A person is playing an electronic keyboard.	A kid is playing keyboard.
19	3.8063946	There are four people outside.	Five people are outside.
20	4.6572514	A train is at a train station.	The train sits at the train station.
21	3.2101586	There are a few things I think you should do.	There are a few things I don't understand:
22	4.604817	I was in a similar situation.	I am in a similar situation.
23	4.901678	Wal-Mart, Kohl's Corp., Family Dollar Stores Inc., and Big Lots Inc. were among the merchants posting May sales that fell below Wall Street's modest expectations.	Wal- Mart, Kohl's Corp., Family Dollar Stores Inc., and Big Lots Inc. posted May sales that fell below Wall Street's modest expectations.
24	3.9786851	A 25 percent increase would raise undergraduate tuition to about $5,247 annually, including miscellaneous, campus-based fees.	The 25 percent hike takes annual UC undergraduate tuition to $4,794 and graduate fees to $5,019.
25	4.20639	"The best the investigators can do is nitpick about the process and substance of isolated business decisions ... and question his competence as a manager."""	"Ebbers' lawyer, Reid Weingarten, said despite the thorough investigation, ""the best the investigators can do is nitpick about the process and substance of isolated business decisions."""
26	4.4640946	Two black and white dogs at the bottom of stairs.	A dog is lying at the bottom of a staircase next to another standing dog.
27	2.1980488	Two men are dancing together.	A woman opens a closet.
28	4.277103	Three men posing in a tent.	Three men eating in a kitchen.
29	4.3735332	The cat is licking a bottle.	A cat plays with a small bottle.
30	4.402423	Site Finder has been visited 65 million times since its introduction, Galvin said.	Through Sunday, Sept. 21, Site Finder has been visited over 65 million times by Internet users.
31	2.1419573	A group of dark-skinned people are walking past barbed wire.	Two women are gossiping by a fence.
32	4.541501	A person wipes butter on a tray.	A person is buttering a tray.
33	4.900523	Maybe this could work for you.	Maybe this can work for you.
34	4.2087655	A white bird with long orange legs standing by a lake.	Large white bird with long orange beak standing on the shoreline.
35	4.382313	Its keywords are supported by Chinese language Web portals.	Chinese language Web portals also support 3721 keywords, the Web site said.
36	4.915942	Deirdre Hisler, Government Canyon's manager, said the state has long had its eye on this piece of property and is eager to complete the deal to obtain it.	Deirdre Hisler, Government Canyon's manager, said the state long has coveted this piece of property, and is eager to complete the deal.
37	3.4470615	You might have to try a variety before you find one that clicks with him.	My advice would be to try a variety of coffees that you can afford and find one you like.
38	2.8498247	A man reels in a fish.	A woman is pouring oil in a bowl.
39	3.5796795	A man is playing a flute.	A man is riding a scooter.
40	3.92369	The life expectancy for boys born in 2001 was 74.4 years, up two years since 1990.	According to the report, average life expectancy has increased by nearly two years since 1990.
41	4.189182	A black and white dog is jumping into the water.	a white dog runs across the water.
42	2.67984	There are two ways to start with: plunging and dripping.	There are two traditional ways to bend wood:
43	4.7353463	One person wields an umbrella.	One person is holding an umbrella.
44	1.841948	I've located an article that might be of some help: http://www.dsattorney.com/qa-pseudonyms-in-contracts/	I found some link that might be of help to you:
45	4.502445	A black dog standing in a grassy area.	A long-haired dog stands in a grassy wooded area.
46	4.9650564	Two men talking in front of a plane.	Two men talking in front of a small plane.
47	4.243457	One, Fort Carson-based Sgt. Ernest Bucklew, 33, had been on his way home to attend his mother's funeral in Pennsylvania.	Sgt. Ernest Bucklew, 33, was coming home from Iraq to bury his mother in Pennsylvania.
48	3.3282375	The best thing you can do is to know your stuff.	My recommendation is not to say anything, and do the best you can.
49	3.3744195	A boy is crawling into a dog house.	A boy is playing a wooden flute.
50	4.932794	A light-colored dog runs through the grass.	A dog runs through the grass.
51	4.793784	A bird flies across the water.	A bird flies above the water.
52	4.438986	The train sits at the train station.	A train parked at a train station.
53	3.1111116	A man is slicing a tomato.	A man is riding a horse.
54	3.4585	the men are about to score in a water polo tournament	The two men are about to compete in a match.
55	3.7502904	It's pretty much up to you.	It's much better to ask.
56	4.3186502	The industry's largest association is urging its members not call the more than 50 million home and cellular numbers on the list.	Meantime, the Direct Marketing Association said its members should not call the nearly 51 million numbers on the list.
57	3.2526832	Yes, it is possible to publish a paper on model analysis.	Yes, it is hard to publish in a peer reviewed journal.
58	3.912288	A group of black people in front of a building with a moped.	A group of people are outside a decrepit building.
59	3.0278063	a little girl is laughing at the camera.	A white cow with big ears looking into the camera.
60	4.235775	A boy skateboards down the railing of some graffiti stairs	A skateboarder slides down a handrail on his feet.
61	4.4072375	It's also a matter of taste.	It's definitely just a matter of preference.
62	4.705548	How do you do that?	How to do that?
63	4.5056515	A yellow bird is eating fruit on a wire grate.	A yellow bird eating fruit on a bird feeder.
64	3.7977858	You should do it.	You can do it, too.
65	4.81585	Two dogs and one cat sitting on couch.	Two dogs and a cat resting on a couch.
66	2.4660614	A man sitting in a back yard playing the guitar.	A man riding on the back of an orange SUV.
67	3.8858473	A wet child enjoys the summer.	A woman is enjoying the summer weather.
68	3.9502003	Blond boy jumping onto deck.	A boy jumping down a wet inflatable slide.
69	4.609541	A girl in a riding hat on a horse.	A girl riding a brown horse.
70	3.793706	You shouldn't feel any obligation at all.	You don't need sauce at all.
71	4.0022683	Sure, I've  done this very trip.	I've done this many dozens of times.
72	3.7643898	You can use it, too.	You can still use it for practice.
73	3.4621692	For the full 12-month period, high-speed cable modem connections increased by 49 percent.	For the full year period ending June 30, 2003, high-speed lines increased by 45 percent.
74	2.9296227	It is impossible to answer this question without a form check.	This is a part answer to your question
75	4.400615	Singapore reported no suspected SARS cases Wednesday, but officials quarantined 70 people who had contact with the Taiwanese patient.	Still, Singapore quarantined 70 people who had been in close contact with the scientist.
76	2.1084175	A man is playing a cello.	A man is rapidly lifting small weights.
77	4.262231	Both of these kids are in wonderful physical condition right now, he said during a press briefing at the hospital.	Both of these kids are in wonderful physical condition right now, said Goodrich, also director of pediatric neurosurgery at the Children's Hospital at Montefiore.
